dt,AverageTemperature,City,Latitude,Longitude
1868-01-01,,Abidjan,5.63N,3.23W
1868-02-01,,Abidjan,5.63N,3.23W
1868-03-01,,Abidjan,5.63N,3.23W
1868-04-01,,Abidjan,5.63N,3.23W
1868-05-01,,Abidjan,5.63N,3.23W
1868-06-01,,Abidjan,5.63N,3.23W
1868-07-01,,Abidjan,5.63N,3.23W
1868-08-01,,Abidjan,5.63N,3.23W
1868-09-01,,Abidjan,5.63N,3.23W
1868-10-01,,Abidjan,5.63N,3.23W
1868-11-01,,Abidjan,5.63N,3.23W
1868-12-01,,Abidjan,5.63N,3.23W
1869-01-01,,Abidjan,5.63N,3.23W
1869-02-01,,Abidjan,5.63N,3.23W
1869-03-01,,Abidjan,5.63N,3.23W
1869-04-01,,Abidjan,5.63N,3.23W
1869-05-01,,Abidjan,5.63N,3.23W
1869-06-01,,Abidjan,5.63N,3.23W
1869-07-01,,Abidjan,5.63N,3.23W
1869-08-01,,Abidjan,5.63N,3.23W
1869-09-01,,Abidjan,5.63N,3.23W
1869-10-01,,Abidjan,5.63N,3.23W
1869-11-01,,Abidjan,5.63N,3.23W
1869-12-01,,Abidjan,5.63N,3.23W
1870-01-01,,Abidjan,5.63N,3.23W
1870-02-01,,Abidjan,5.63N,3.23W
1870-03-01,,Abidjan,5.63N,3.23W
1870-04-01,,Abidjan,5.63N,3.23W
1870-05-01,,Abidjan,5.63N,3.23W
1870-06-01,,Abidjan,5.63N,3.23W
1870-07-01,,Abidjan,5.63N,3.23W
1870-08-01,,Abidjan,5.63N,3.23W
1870-09-01,,Abidjan,5.63N,3.23W
1870-10-01,,Abidjan,5.63N,3.23W
1870-11-01,,Abidjan,5.63N,3.23W
1870-12-01,,Abidjan,5.63N,3.23W
1871-01-01,,Abidjan,5.63N,3.23W
1871-02-01,,Abidjan,5.63N,3.23W
1871-03-01,,Abidjan,5.63N,3.23W
1871-04-01,,Abidjan,5.63N,3.23W
1871-05-01,,Abidjan,5.63N,3.23W
1871-06-01,,Abidjan,5.63N,3.23W
1871-07-01,,Abidjan,5.63N,3.23W
1871-08-01,,Abidjan,5.63N,3.23W
1871-09-01,,Abidjan,5.63N,3.23W
1871-10-01,,Abidjan,5.63N,3.23W
1871-11-01,,Abidjan,5.63N,3.23W
1871-12-01,,Abidjan,5.63N,3.23W
1872-01-01,,Abidjan,5.63N,3.23W
1872-02-01,,Abidjan,5.63N,3.23W
1872-03-01,,Abidjan,5.63N,3.23W
1872-04-01,,Abidjan,5.63N,3.23W
1872-05-01,,Abidjan,5.63N,3.23W
1872-06-01,,Abidjan,5.63N,3.23W
1872-07-01,,Abidjan,5.63N,3.23W
1872-08-01,,Abidjan,5.63N,3.23W
1872-09-01,,Abidjan,5.63N,3.23W
1872-10-01,,Abidjan,5.63N,3.23W
1872-11-01,,Abidjan,5.63N,3.23W
1872-12-01,,Abidjan,5.63N,3.23W
1873-01-01,,Abidjan,5.63N,3.23W
1873-02-01,,Abidjan,5.63N,3.23W
1873-03-01,27.658,Abidjan,5.63N,3.23W
1873-04-01,,Abidjan,5.63N,3.23W
1873-05-01,26.526,Abidjan,5.63N,3.23W
1873-06-01,25.815,Abidjan,5.63N,3.23W
1873-07-01,24.645,Abidjan,5.63N,3.23W
1873-08-01,24.116,Abidjan,5.63N,3.23W
1873-09-01,24.689,Abidjan,5.63N,3.23W
1873-10-01,25.158,Abidjan,5.63N,3.23W
1873-11-01,,Abidjan,5.63N,3.23W
1873-12-01,26.341,Abidjan,5.63N,3.23W
1874-01-01,26.501,Abidjan,5.63N,3.23W
1874-02-01,27.216,Abidjan,5.63N,3.23W
1874-03-01,27.022,Abidjan,5.63N,3.23W
1874-04-01,27.298,Abidjan,5.63N,3.23W
1874-05-01,25.925,Abidjan,5.63N,3.23W
1874-06-01,,Abidjan,5.63N,3.23W
1874-07-01,23.974,Abidjan,5.63N,3.23W
1874-08-01,23.546,Abidjan,5.63N,3.23W
1874-09-01,24.491,Abidjan,5.63N,3.23W
1874-10-01,25.103,Abidjan,5.63N,3.23W
1874-11-01,25.643,Abidjan,5.63N,3.23W
1874-12-01,25.781,Abidjan,5.63N,3.23W
1875-01-01,25.566,Abidjan,5.63N,3.23W
1875-02-01,26.84,Abidjan,5.63N,3.23W
1875-03-01,27.147,Abidjan,5.63N,3.23W
1875-04-01,26.767,Abidjan,5.63N,3.23W
1875-05-01,25.889,Abidjan,5.63N,3.23W
1875-06-01,24.916,Abidjan,5.63N,3.23W
1875-07-01,23.711,Abidjan,5.63N,3.23W
1875-08-01,23.32,Abidjan,5.63N,3.23W
1875-09-01,23.907,Abidjan,5.63N,3.23W
1875-10-01,24.725,Abidjan,5.63N,3.23W
1875-11-01,25.026,Abidjan,5.63N,3.23W
1875-12-01,25.16,Abidjan,5.63N,3.23W
1876-01-01,25.608,Abidjan,5.63N,3.23W
1876-02-01,26.391,Abidjan,5.63N,3.23W
1876-03-01,27.006,Abidjan,5.63N,3.23W
1876-04-01,26.385,Abidjan,5.63N,3.23W
1876-05-01,25.593,Abidjan,5.63N,3.23W
1876-06-01,24.919,Abidjan,5.63N,3.23W
1876-07-01,23.705,Abidjan,5.63N,3.23W
1876-08-01,23.015,Abidjan,5.63N,3.23W
1876-09-01,23.644,Abidjan,5.63N,3.23W
1876-10-01,24.959,Abidjan,5.63N,3.23W
1876-11-01,25.252,Abidjan,5.63N,3.23W
1876-12-01,25.253,Abidjan,5.63N,3.23W
1877-01-01,25.845,Abidjan,5.63N,3.23W
1877-02-01,26.925,Abidjan,5.63N,3.23W
1877-03-01,27.607,Abidjan,5.63N,3.23W
1877-04-01,26.978,Abidjan,5.63N,3.23W
1877-05-01,26.21,Abidjan,5.63N,3.23W
1877-06-01,25.217,Abidjan,5.63N,3.23W
1877-07-01,24.578,Abidjan,5.63N,3.23W
1877-08-01,24.14,Abidjan,5.63N,3.23W
1877-09-01,24.569,Abidjan,5.63N,3.23W
1877-10-01,25.363,Abidjan,5.63N,3.23W
1877-11-01,26.413,Abidjan,5.63N,3.23W
1877-12-01,26.313,Abidjan,5.63N,3.23W
1878-01-01,26.433,Abidjan,5.63N,3.23W
1878-02-01,27.785,Abidjan,5.63N,3.23W
1878-03-01,28.674,Abidjan,5.63N,3.23W
1878-04-01,27.558,Abidjan,5.63N,3.23W
1878-05-01,26.078,Abidjan,5.63N,3.23W
1878-06-01,25.087,Abidjan,5.63N,3.23W
1878-07-01,23.668,Abidjan,5.63N,3.23W
1878-08-01,23.475,Abidjan,5.63N,3.23W
1878-09-01,24.348,Abidjan,5.63N,3.23W
1878-10-01,25.398,Abidjan,5.63N,3.23W
1878-11-01,26.207,Abidjan,5.63N,3.23W
1878-12-01,25.781,Abidjan,5.63N,3.23W
1879-01-01,25.803,Abidjan,5.63N,3.23W
1879-02-01,27.402,Abidjan,5.63N,3.23W
1879-03-01,27.148,Abidjan,5.63N,3.23W
1879-04-01,26.662,Abidjan,5.63N,3.23W
1879-05-01,25.592,Abidjan,5.63N,3.23W
1879-06-01,25.147,Abidjan,5.63N,3.23W
1879-07-01,23.265,Abidjan,5.63N,3.23W
1879-08-01,22.912,Abidjan,5.63N,3.23W
1879-09-01,23.926,Abidjan,5.63N,3.23W
1879-10-01,25.197,Abidjan,5.63N,3.23W
1879-11-01,25.897,Abidjan,5.63N,3.23W
1879-12-01,25.657,Abidjan,5.63N,3.23W
1880-01-01,26.109,Abidjan,5.63N,3.23W
1880-02-01,26.922,Abidjan,5.63N,3.23W
1880-03-01,27.514,Abidjan,5.63N,3.23W
1880-04-01,26.65,Abidjan,5.63N,3.23W
1880-05-01,26.566,Abidjan,5.63N,3.23W
1880-06-01,25.232,Abidjan,5.63N,3.23W
1880-07-01,24.614,Abidjan,5.63N,3.23W
1880-08-01,24.542,Abidjan,5.63N,3.23W
1880-09-01,24.199,Abidjan,5.63N,3.23W
1880-10-01,25.99,Abidjan,5.63N,3.23W
1880-11-01,26.607,Abidjan,5.63N,3.23W
1880-12-01,26.54,Abidjan,5.63N,3.23W
1881-01-01,27.011,Abidjan,5.63N,3.23W
1881-02-01,27.696,Abidjan,5.63N,3.23W
1881-03-01,28.409,Abidjan,5.63N,3.23W
1881-04-01,27.49,Abidjan,5.63N,3.23W
1881-05-01,26.838,Abidjan,5.63N,3.23W
1881-06-01,24.682,Abidjan,5.63N,3.23W
1881-07-01,24.824,Abidjan,5.63N,3.23W
1881-08-01,23.629,Abidjan,5.63N,3.23W
1881-09-01,24.505,Abidjan,5.63N,3.23W
1881-10-01,25.367,Abidjan,5.63N,3.23W
1881-11-01,26.118,Abidjan,5.63N,3.23W
1881-12-01,26.311,Abidjan,5.63N,3.23W
1882-01-01,26.757,Abidjan,5.63N,3.23W
1882-02-01,27.574,Abidjan,5.63N,3.23W
1882-03-01,27.998,Abidjan,5.63N,3.23W
1882-04-01,26.718,Abidjan,5.63N,3.23W
1882-05-01,26.081,Abidjan,5.63N,3.23W
1882-06-01,24.394,Abidjan,5.63N,3.23W
1882-07-01,24.01,Abidjan,5.63N,3.23W
1882-08-01,23.59,Abidjan,5.63N,3.23W
1882-09-01,24.263,Abidjan,5.63N,3.23W
1882-10-01,25.264,Abidjan,5.63N,3.23W
1882-11-01,25.836,Abidjan,5.63N,3.23W
1882-12-01,25.761,Abidjan,5.63N,3.23W
1883-01-01,26.031,Abidjan,5.63N,3.23W
1883-02-01,26.628,Abidjan,5.63N,3.23W
1883-03-01,27.628,Abidjan,5.63N,3.23W
1883-04-01,27.757,Abidjan,5.63N,3.23W
1883-05-01,26.063,Abidjan,5.63N,3.23W
1883-06-01,25.406,Abidjan,5.63N,3.23W
1883-07-01,25.268,Abidjan,5.63N,3.23W
1883-08-01,25.043,Abidjan,5.63N,3.23W
1883-09-01,25.391,Abidjan,5.63N,3.23W
1883-10-01,25.717,Abidjan,5.63N,3.23W
1883-11-01,26.579,Abidjan,5.63N,3.23W
1883-12-01,26.065,Abidjan,5.63N,3.23W
